=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G199 | Fit: 0.41037 | Dist: 1792.1km | Tempo: ~1835min | Rec: 15 | Stag: 0
G200 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 0
G201 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 1
G202 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 2
G203 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 3
G204 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 4
G205 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 5
G206 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 6
G207 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 7
G208 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 8
G209 | Fit: 0.41136 | Dist: 1787.2km | Tempo: ~1830min | Rec: 16 | Stag: 9
G210 | Fit: 0.41353 | Dist: 1778.5km | Tempo: ~1821min | Rec: 15 | Stag: 0
G211 | Fit: 0.41505 | Dist: 1769.6km | Tempo: ~1815min | Rec: 16 | Stag: 0
G212 | Fit: 0.41505 | Dist: 1769.6km | Tempo: ~1815min | Rec: 16 | Stag: 1
G213 | Fit: 0.41505 | Dist: 1769.6km | Tempo: ~1815min | Rec: 16 | Stag: 2
G214 | Fit: 0.41505 | Dist: 1769.6km | Tempo: ~1815min | Rec: 16 | Stag: 3
G215 | Fit: 0.41505 | Dist: 1769.6km | Tempo: ~1815min | Rec: 16 | Stag: 4
G216 | Fit: 0.41505 | Dist: 1769.6km | Tempo: ~1815min | Rec: 16 | Stag: 5
G217 | Fit: 0.41549 | Dist: 1771.5km | Tempo: ~1813min | Rec: 15 | Stag: 0
G218 | Fit: 0.41549 | Dist: 1771.5km | Tempo: ~1813min | Rec: 15 | Stag: 1
G219 | Fit: 0.41585 | Dist: 1768.9km | Tempo: ~1812min | Rec: 16 | Stag: 0
G220 | Fit: 0.41585 | Dist: 1768.9km | Tempo: ~1812min | Rec: 16 | Stag: 1
G221 | Fit: 0.41585 | Dist: 1768.9km | Tempo: ~1812min | Rec: 16 | Stag: 2
G222 | Fit: 0.41585 | Dist: 1768.9km | Tempo: ~1812min | Rec: 16 | Stag: 3
G223 | Fit: 0.41689 | Dist: 1761.1km | Tempo: ~1807min | Rec: 17 | Stag: 0
G224 | Fit: 0.41947 | Dist: 1755.0km | Tempo: ~1797min | Rec: 15 | Stag: 0
G225 | Fit: 0.41947 | Dist: 1755.0km | Tempo: ~1797min | Rec: 15 | Stag: 1
G226 | Fit: 0.41947 | Dist: 1755.0km | Tempo: ~1797min | Rec: 15 | Stag: 2
G227 | Fit: 0.42018 | Dist: 1752.9km | Tempo: ~1794min | Rec: 15 | Stag: 0
G228 | Fit: 0.42018 | Dist: 1752.9km | Tempo: ~1794min | Rec: 15 | Stag: 1
G229 | Fit: 0.42561 | Dist: 1726.8km | Tempo: ~1772min | Rec: 17 | Stag: 0
G230 | Fit: 0.42561 | Dist: 1726.8km | Tempo: ~1772min | Rec: 17 | Stag: 1
G231 | Fit: 0.42561 | Dist: 1726.8km | Tempo: ~1772min | Rec: 17 | Stag: 2
G232 | Fit: 0.42561 | Dist: 1726.8km | Tempo: ~1772min | Rec: 17 | Stag: 3
G233 | Fit: 0.42561 | Dist: 1726.8km | Tempo: ~1772min | Rec: 17 | Stag: 4
G234 | Fit: 0.42835 | Dist: 1714.7km | Tempo: ~1761min | Rec: 17 | Stag: 0
G235 | Fit: 0.42835 | Dist: 1714.7km | Tempo: ~1761min | Rec: 17 | Stag: 1
G236 | Fit: 0.42835 | Dist: 1714.7km | Tempo: ~1761min | Rec: 17 | Stag: 2
G237 | Fit: 0.42835 | Dist: 1714.7km | Tempo: ~1761min | Rec: 17 | Stag: 3
G238 | Fit: 0.42835 | Dist: 1714.7km | Tempo: ~1761min | Rec: 17 | Stag: 4
G239 | Fit: 0.42835 | Dist: 1714.7km | Tempo: ~1761min | Rec: 17 | Stag: 5
G240 | Fit: 0.43019 | Dist: 1711.1km | Tempo: ~1754min | Rec: 16 | Stag: 0
G241 | Fit: 0.43019 | Dist: 1711.1km | Tempo: ~1754min | Rec: 16 | Stag: 1
G242 | Fit: 0.43019 | Dist: 1711.1km | Tempo: ~1754min | Rec: 16 | Stag: 2
G243 | Fit: 0.43019 | Dist: 1711.1km | Tempo: ~1754min | Rec: 16 | Stag: 3
G244 | Fit: 0.43092 | Dist: 1710.2km | Tempo: ~1751min | Rec: 15 | Stag: 0
