CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
80510325.0,-25.4198156998607,-49.2790781765687,1,11:15:35,96,80540290.0,-25.4060056184402,-49.2667691092792,NÃO,11:16:49
80540290.0,-25.4060056184402,-49.2667691092792,1,11:18:01,92,80540140.0,-25.4021061827475,-49.2605236422368,NÃO,11:18:31
80540140.0,-25.4021061827475,-49.2605236422368,1,11:19:43,48,82200440.0,-25.393875587652,-49.2639951894228,NÃO,11:20:57
82200440.0,-25.393875587652,-49.2639951894228,1,11:22:09,92,82210230.0,-25.3823373333611,-49.2634891111916,NÃO,11:23:00
82210230.0,-25.3823373333611,-49.2634891111916,1,11:24:12,60,82650210.0,-25.3791995264108,-49.2479747365615,NÃO,11:25:48
82650210.0,-25.3791995264108,-49.2479747365615,1,11:27:00,88,82700410.0,-25.3740192069561,-49.2513782763024,NÃO,11:27:28
82700410.0,-25.3740192069561,-49.2513782763024,1,11:28:40,88,82130162.0,-25.3808898753791,-49.2691345002354,NÃO,11:30:00
82130162.0,-25.3808898753791,-49.2691345002354,1,11:31:12,40,82200216.0,-25.3890870000006,-49.270339250004,NÃO,11:32:35
82200216.0,-25.3890870000006,-49.270339250004,1,11:33:47,40,82200200.0,-25.3904101875436,-49.2691160623079,NÃO,11:34:05
82200200.0,-25.3904101875436,-49.2691160623079,1,11:35:17,76,82100270.0,-25.4014680627492,-49.2883068119821,NÃO,11:37:06
82100270.0,-25.4014680627492,-49.2883068119821,1,11:38:18,88,80520550.0,-25.403621771614,-49.2770964271839,NÃO,11:39:06
80520550.0,-25.403621771614,-49.2770964271839,1,11:40:18,84,80820310.0,-25.4086845373433,-49.2906611455039,NÃO,11:41:22
80820310.0,-25.4086845373433,-49.2906611455039,1,11:42:34,96,80410000.0,-25.4213661621413,-49.2875646174355,NÃO,11:43:29
80410000.0,-25.4213661621413,-49.2875646174355,1,11:44:41,40,80510360.0,-25.4193944591681,-49.2858097118247,NÃO,11:45:07
80510360.0,-25.4193944591681,-49.2858097118247,1,11:46:19,84,80710350.0,-25.4333576000608,-49.3086768002282,NÃO,11:48:18
80710350.0,-25.4333576000608,-49.3086768002282,1,11:49:30,96,80730270.0,-25.4395442941516,-49.3020722939492,NÃO,11:50:06
80730270.0,-25.4395442941516,-49.3020722939492,1,11:51:18,96,80440020.0,-25.4428337956861,-49.300747838027,SIM,11:51:33
80440020.0,-25.4428337956861,-49.300747838027,1,11:52:45,40,80240550.0,-25.4533378888945,-49.3034312777902,NÃO,11:54:33
80240550.0,-25.4533378888945,-49.3034312777902,1,11:55:45,52,80440090.0,-25.4443285001079,-49.2916224997606,NÃO,11:57:33
80440090.0,-25.4443285001079,-49.2916224997606,1,11:58:45,92,80620370.0,-25.4578113636589,-49.2746421817496,NÃO,12:00:14
80620370.0,-25.4578113636589,-49.2746421817496,1,12:01:26,80,80220380.0,-25.4622493336364,-49.2552576680305,NÃO,12:03:05
80220380.0,-25.4622493336364,-49.2552576680305,1,12:04:17,80,80620340.0,-25.4540745011999,-49.2732563508827,NÃO,12:05:42
80620340.0,-25.4540745011999,-49.2732563508827,1,12:06:54,60,80010200.0,-25.4499691308346,-49.2748090324017,NÃO,12:07:22
80010200.0,-25.4499691308346,-49.2748090324017,1,12:08:34,84,81010130.0,-25.4764195588417,-49.273155691529,NÃO,12:10:41
81010130.0,-25.4764195588417,-49.273155691529,1,12:11:53,48,81010160.0,-25.4761700909245,-49.2756320910121,NÃO,12:12:10
81010160.0,-25.4761700909245,-49.2756320910121,1,12:13:22,88,81010170.0,-25.4783570614136,-49.2757205974116,NÃO,12:13:32
81010170.0,-25.4783570614136,-49.2757205974116,1,12:14:44,64,81020420.0,-25.4920196819718,-49.2840872729491,NÃO,12:16:17
81020420.0,-25.4920196819718,-49.2840872729491,1,12:17:29,96,81110240.0,-25.5012202607084,-49.2880626203316,NÃO,12:18:10
81110240.0,-25.5012202607084,-49.2880626203316,1,12:19:22,68,81110190.0,-25.4985135816744,-49.2879505576038,NÃO,12:19:38
81110190.0,-25.4985135816744,-49.2879505576038,1,12:20:50,92,81110330.0,-25.5042910428287,-49.2847716627966,NÃO,12:21:19
81110330.0,-25.5042910428287,-49.2847716627966,1,12:22:31,88,81870310.0,-25.524150444185,-49.290210168982,NÃO,12:24:03
81870310.0,-25.524150444185,-49.290210168982,1,12:25:15,36,81870352.0,-25.5241770000303,-49.2937684998992,NÃO,12:25:46
81870352.0,-25.5241770000303,-49.2937684998992,1,12:26:58,72,81110522.0,-25.5094403220237,-49.2915096538449,NÃO,12:28:22
81110522.0,-25.5094403220237,-49.2915096538449,1,12:29:34,96,81110070.0,-25.5038132404982,-49.2938690633352,NÃO,12:29:59
81110070.0,-25.5038132404982,-49.2938690633352,1,12:31:11,72,81130270.0,-25.5076616583274,-49.3009496047833,NÃO,12:31:50
81130270.0,-25.5076616583274,-49.3009496047833,1,12:33:02,80,81170065.0,-25.5110533750523,-49.3200841245732,NÃO,12:34:24
81170065.0,-25.5110533750523,-49.3200841245732,1,12:35:36,88,81170662.0,-25.5172792272985,-49.3183728182903,NÃO,12:36:06
81170662.0,-25.5172792272985,-49.3183728182903,1,12:37:18,76,81170755.0,-25.5160188418949,-49.3308090343913,NÃO,12:38:13
81170755.0,-25.5160188418949,-49.3308090343913,1,12:39:25,88,81170762.0,-25.51557721054,-49.3290638947933,NÃO,12:39:34
81170762.0,-25.51557721054,-49.3290638947933,1,12:40:46,92,81460239.0,-25.5325141725804,-49.3365793791746,NÃO,12:42:04
