=== INICIANDO AG PURO V3.1 (OTIMIZADO 2) ===
G1281 | Fit: 0.88961 | Dist: 458.9km | Tempo: ~471min | Rec: 4 | Stag: 0 | T:826.6s
G1291 | Fit: 0.89002 | Dist: 457.4km | Tempo: ~469min | Rec: 4 | Stag: 1 | T:833.4s
G1301 | Fit: 0.89082 | Dist: 455.3km | Tempo: ~467min | Rec: 4 | Stag: 0 | T:840.5s
G1311 | Fit: 0.89130 | Dist: 454.4km | Tempo: ~466min | Rec: 4 | Stag: 0 | T:847.3s
G1321 | Fit: 0.89285 | Dist: 449.7km | Tempo: ~462min | Rec: 4 | Stag: 0 | T:853.9s
G1331 | Fit: 0.89395 | Dist: 447.3km | Tempo: ~459min | Rec: 4 | Stag: 2 | T:860.4s
G1341 | Fit: 0.89514 | Dist: 444.1km | Tempo: ~456min | Rec: 4 | Stag: 0 | T:866.6s
G1351 | Fit: 0.89600 | Dist: 441.6km | Tempo: ~453min | Rec: 4 | Stag: 0 | T:873.7s
G1361 | Fit: 0.89626 | Dist: 440.8km | Tempo: ~453min | Rec: 4 | Stag: 0 | T:880.4s
G1371 | Fit: 0.89680 | Dist: 439.6km | Tempo: ~451min | Rec: 4 | Stag: 1 | T:886.9s
G1381 | Fit: 0.89754 | Dist: 437.6km | Tempo: ~449min | Rec: 4 | Stag: 0 | T:894.2s
G1391 | Fit: 0.89808 | Dist: 436.4km | Tempo: ~448min | Rec: 4 | Stag: 1 | T:900.5s
G1401 | Fit: 0.89890 | Dist: 434.2km | Tempo: ~446min | Rec: 4 | Stag: 0 | T:907.1s
G1411 | Fit: 0.90001 | Dist: 431.2km | Tempo: ~443min | Rec: 4 | Stag: 1 | T:913.4s
G1421 | Fit: 0.90191 | Dist: 425.9km | Tempo: ~437min | Rec: 4 | Stag: 1 | T:918.9s
G1431 | Fit: 0.90306 | Dist: 422.9km | Tempo: ~434min | Rec: 4 | Stag: 0 | T:924.6s
G1441 | Fit: 0.90348 | Dist: 421.8km | Tempo: ~433min | Rec: 4 | Stag: 0 | T:930.6s
G1451 | Fit: 0.90441 | Dist: 419.1km | Tempo: ~430min | Rec: 4 | Stag: 0 | T:937.0s
G1461 | Fit: 0.90534 | Dist: 416.9km | Tempo: ~428min | Rec: 4 | Stag: 0 | T:943.7s
G1471 | Fit: 0.90606 | Dist: 415.0km | Tempo: ~426min | Rec: 4 | Stag: 0 | T:950.3s
G1481 | Fit: 0.90682 | Dist: 412.9km | Tempo: ~424min | Rec: 4 | Stag: 0 | T:956.3s
G1491 | Fit: 0.90712 | Dist: 412.1km | Tempo: ~423min | Rec: 4 | Stag: 1 | T:962.8s
